['R$ 51,31', 'R$ 5,76', 'R$ 9,54', 'R$ 6,65', 'R$ 1,98', 'R$ 6,12', 'R$ 26,98', 'R$ 12,11', 'R$ 3,15', 'R$ 12,34', 'R$ 4,59', 'R$ 29,62']
['R$ 0,49', 'R$ 2,21', 'R$ 2,10', 'R$ 44,71', 'R$ 3,45', 'R$ 15,37', 'R$ 8,85', 'R$ 2,95', 'R$ 1,78', 'R$ 18,20', 'R$ 37,37', 'R$ 1,92']
['R$ 22,97', 'R$ 16,17', 'R$ 0,72', 'R$ 70,88', 'R$ 2,22', 'R$ 15,89', 'R$ 28,34', 'R$ 5,00', 'R$ 15,57', 'R$ 1,66', 'R$ 2,42', 'R$ 54,75']
['R$ 89,33', 'R$ 11,60', 'R$ 1,38', 'R$ 14,42', 'R$ 3,21', 'R$ 7,44', 'R$ 141,46', 'R$ 2,47', 'R$ 1,22', 'R$ 15,00', 'R$ 2,80', 'R$ 16,27']
['R$ 36,63', 'R$ 0,99', 'R$ 9,25', 'R$ 10,10', 'R$ 18,20', 'R$ 1,11', 'R$ 8,56', 'R$ 1,25', 'R$ 43,30', 'R$ 3,14', 'R$ 14,76', 'R$ 14,20']
['R$ 2,38', 'R$ 4,23', 'R$ 2,97', 'R$ 1,03', 'R$ 5,14', 'R$ 25,82', 'R$ 4,20', 'R$ 4,71', 'R$ 5,12', 'R$ 12,30', 'R$ 0,38', 'R$ 6,32']
['R$ 0,55', 'R$ 8,62', 'R$ 74,47', 'R$ 0,89', 'R$ 24,49', 'R$ 0,44', 'R$ 12,57', 'R$ 4,12', 'R$ 2,20', 'R$ 5,65', 'R$ 3,64', 'R$ 8,08']
['R$ 0,76', 'R$ 95,67', 'R$ 2,41', 'R$ 7,98', 'R$ 2,69', 'R$ 17,69', 'R$ 21,77', 'R$ 2,96', 'R$ 0,42', 'R$ 2,94', 'R$ 2,81', 'R$ 2,28']
['R$ 75,95', 'R$ 93,20', 'R$ 45,40', 'R$ 22,09', 'R$ 33,43', 'R$ 2,33', 'R$ 0,52', 'R$ 4,95', 'R$ 8,59', 'R$ 0,96', 'R$ 10,90', 'R$ 2,70']
['R$ 4,39', 'R$ 6,93', 'R$ 25,37', 'R$ 10,38', 'R$ 19,05', 'R$ 0,87', 'R$ 0,73', 'R$ 91,83', 'R$ 36,69', 'R$ 37,35', 'R$ 18,96', 'R$ 1,53']
['R$ 26,80', 'R$ 4,47', 'R$ 5,52', 'R$ 46,05', 'R$ 12,60', 'R$ 1,50', 'R$ 8,62', 'R$ 34,59', 'R$ 4,52', 'R$ 45,40', 'R$ 5,61', 'R$ 12,36']
['R$ 13,79', 'R$ 1,38', 'R$ 1,56', 'R$ 59,24', 'R$ 116,86', 'R$ 5,51', 'R$ 21,80', 'R$ 11,27', 'R$ 8,03', 'R$ 40,15', 'R$ 6,70', 'R$ 4,43']
['R$ 1,71', 'R$ 13,59', 'R$ 4,65', 'R$ 60,02', 'R$ 2,37', 'R$ 3,57', 'R$ 2,89', 'R$ 1,13', 'R$ 0,96', 'R$ 6,88', 'R$ 4,17', 'R$ 47,06']
['R$ 52,48', 'R$ 26,56', 'R$ 20,03', 'R$ 14,13', 'R$ 0,91', 'R$ 5,15', 'R$ 37,58', 'R$ 130,39', 'R$ 45,93', 'R$ 1,52', 'R$ 16,68', 'R$ 4,53']
['R$ 3,53', 'R$ 39,37', 'R$ 5,24', 'R$ 8,78', 'R$ 23,85', 'R$ 6,11', 'R$ 1,06', 'R$ 91,01', 'R$ 1,44', 'R$ 1,85', 'R$ 6,19', 'R$ 4,31']
['R$ 12,15', 'R$ 10,76', 'R$ 96,72', 'R$ 6,00', 'R$ 1,84', 'R$ 2,81', 'R$ 18,51', 'R$ 7,77', 'R$ 31,24', 'R$ 2,42', 'R$ 4,42', 'R$ 6,99']
['R$ 2,58', 'R$ 4,22', 'R$ 2,07', 'R$ 70,49', 'R$ 46,71', 'R$ 15,19', 'R$ 3,10', 'R$ 14,10', 'R$ 2,67', 'R$ 8,30', 'R$ 6,34', 'R$ 9,54']
['R$ 42,32', 'R$ 27,04', 'R$ 1,12', 'R$ 48,96', 'R$ 1,65', 'R$ 12,91', 'R$ 107,09', 'R$ 9,60', 'R$ 13,74', 'R$ 17,27', 'R$ 1,11', 'R$ 80,22']
['R$ 1,02', 'R$ 33,48', 'R$ 2,95', 'R$ 3,74', 'R$ 13,48', 'R$ 21,54', 'R$ 1,53', 'R$ 3,17', 'R$ 40,40', 'R$ 10,62', 'R$ 5,54', 'R$ 0,78']
['R$ 29,50', 'R$ 2,10', 'R$ 2,11', 'R$ 13,38', 'R$ 1,27', 'R$ 1,50', 'R$ 40,08', 'R$ 1,03', 'R$ 248,56', 'R$ 0,90', 'R$ 15,24', 'R$ 15,04']
['R$ 17,10', 'R$ 8,86', 'R$ 17,44', 'R$ 27,94', 'R$ 3,94', 'R$ 0,87', 'R$ 47,41', 'R$ 20,71', 'R$ 7,06', 'R$ 9,78', 'R$ 7,59', 'R$ 11,40']
['R$ 2,39', 'R$ 3,41', 'R$ 3,00', 'R$ 2,32', 'R$ 115,39', 'R$ 72,19', 'R$ 15,79', 'R$ 17,19', 'R$ 1,44', 'R$ 15,78', 'R$ 23,07', 'R$ 1,27']
['R$ 2,59', 'R$ 2,34', 'R$ 14,78', 'R$ 4,12', 'R$ 29,66', 'R$ 3,96', 'R$ 0,78', 'R$ 6,57', 'R$ 1,66', 'R$ 4,93', 'R$ 4,11', 'R$ 79,86']
